variant,case,seed,is_slippery,dense_reward,first_success_episode,first_success_total_steps,resuccess_gap_episodes,post50_success_rate,post100_success_rate
holeless_control,stoch_dense,42,1,1,2,340,13,0.3,0.38
holeless_control,stoch_dense,43,1,1,1,122,1,0.56,0.38
holeless_control,stoch_dense,44,1,1,2,355,2,0.32,0.31
holeless_control,stoch_dense,45,1,1,1,151,3,0.44,0.44
holeless_control,stoch_dense,46,1,1,1,197,3,0.4,0.45
holeless_control,stoch_dense,47,1,1,1,104,2,0.5,0.46
holeless_control,stoch_dense,48,1,1,5,997,1,0.4,0.38
holeless_control,stoch_dense,49,1,1,3,481,1,0.46,0.4
holeless_control,stoch_dense,50,1,1,1,91,1,0.5,0.42
holeless_control,stoch_dense,51,1,1,4,796,1,0.36,0.41
holeless_control,stoch_dense,52,1,1,3,493,2,0.4,0.38
holeless_control,stoch_dense,53,1,1,1,59,2,0.44,0.4
holeless_control,stoch_dense,54,1,1,3,486,1,0.52,0.41
holeless_control,stoch_dense,55,1,1,2,307,1,0.34,0.44
holeless_control,stoch_dense,56,1,1,2,312,1,0.52,0.47
holeless_control,stoch_dense,57,1,1,1,111,11,0.26,0.34
holeless_control,stoch_dense,58,1,1,1,49,1,0.42,0.44
holeless_control,stoch_dense,59,1,1,1,149,3,0.36,0.39
holeless_control,stoch_dense,60,1,1,4,741,1,0.32,0.32
holeless_control,stoch_dense,61,1,1,2,364,5,0.38,0.34
holeless_control,stoch_dense,62,1,1,3,552,2,0.44,0.38
holeless_control,stoch_dense,63,1,1,3,595,10,0.28,0.32
holeless_control,stoch_dense,64,1,1,2,271,4,0.34,0.38
holeless_control,stoch_dense,65,1,1,3,559,4,0.3,0.37
holeless_control,stoch_dense,66,1,1,1,56,5,0.48,0.44
holeless_control,stoch_dense,67,1,1,1,38,5,0.34,0.4
holeless_control,stoch_dense,68,1,1,4,730,5,0.44,0.38
holeless_control,stoch_dense,69,1,1,2,275,2,0.44,0.41
holeless_control,stoch_dense,70,1,1,2,389,1,0.38,0.41
holeless_control,stoch_dense,71,1,1,1,58,2,0.4,0.37
holeless_control,stoch_dense,72,1,1,4,673,1,0.4,0.39
holeless_control,stoch_dense,73,1,1,2,397,1,0.38,0.39
holeless_control,stoch_dense,74,1,1,6,1138,1,0.42,0.39
holeless_control,stoch_dense,75,1,1,3,444,1,0.48,0.51
holeless_control,stoch_dense,76,1,1,1,82,1,0.42,0.42
holeless_control,stoch_dense,77,1,1,1,132,2,0.4,0.34
holeless_control,stoch_dense,78,1,1,4,627,1,0.46,0.43
holeless_control,stoch_dense,79,1,1,3,547,2,0.52,0.45
holeless_control,stoch_dense,80,1,1,2,347,6,0.32,0.31
holeless_control,stoch_dense,81,1,1,3,555,1,0.48,0.42
holeless_control,stoch_dense,82,1,1,1,93,2,0.4,0.36
holeless_control,stoch_dense,83,1,1,1,61,2,0.34,0.36
holeless_control,stoch_dense,84,1,1,1,46,2,0.42,0.45
holeless_control,stoch_dense,85,1,1,1,77,3,0.34,0.39
holeless_control,stoch_dense,86,1,1,2,374,1,0.34,0.3
holeless_control,stoch_dense,87,1,1,1,98,4,0.34,0.34
holeless_control,stoch_dense,88,1,1,1,147,2,0.36,0.37
holeless_control,stoch_dense,89,1,1,1,121,6,0.26,0.35
holeless_control,stoch_dense,90,1,1,4,684,3,0.32,0.4
holeless_control,stoch_dense,91,1,1,2,295,1,0.4,0.41
holeless_control,stoch_dense,92,1,1,2,294,14,0.34,0.34
holeless_control,stoch_dense,93,1,1,3,551,2,0.36,0.36
holeless_control,stoch_dense,94,1,1,1,154,1,0.32,0.33
holeless_control,stoch_dense,95,1,1,1,188,5,0.48,0.47
holeless_control,stoch_dense,96,1,1,1,191,2,0.48,0.51
holeless_control,stoch_dense,97,1,1,5,993,2,0.34,0.37
holeless_control,stoch_dense,98,1,1,1,112,1,0.38,0.35
holeless_control,stoch_dense,99,1,1,3,495,1,0.5,0.41
